Nombre,Calidad microbiologica,Calidad quimica,Turbiedad
Pozos,3,3,2
Manantiales o rios, 2,3,3
Acuiferos confinados,1,1,3
Lagos o embalses,3,3,3
Mar,2,2,2
Lluvia,2,2,1
Ninguna,0,0,0
