Nombre,Calidad microbiologica,Calidad quimica,Turbiedad
Manchas color cafe anaranjadas y sabor metalico,0,1,0
Motas o manchas negras,0,1,0
Pelicula blanca o gris y necesidad de mayor uso de jabon,0,0,1
Sabor salado,0,1,0
Manchas azules y verdosas y sabor metalico,0,1,0
Ninguno,0,0,0
