Nombre,Calidad microbiologica,Calidad quimica,Turbiedad
Industria,2,1,0
Agricultura,0,2,0
Mineria,0,2,1
Perforacion de pozos de gas o petroleo,0,2,0
Gasolineras,0,2,0
Casas con pozo septico,3,0,0
Deshielo de carreteras,0,2,0
Ninguno,0,0,0
